Date,NAV
10/21/2019,$275.60
10/22/2019,$274.63
10/23/2019,$275.42
10/24/2019,$275.95
10/25/2019,$277.08
10/28/2019,$278.62
10/29/2019,$278.53
10/30/2019,$279.32
10/31/2019,$278.50
11/01/2019,$281.21
11/04/2019,$282.26
11/05/2019,$281.92
11/06/2019,$282.14
11/07/2019,$283.04
11/08/2019,$283.82
11/11/2019,$283.26
11/12/2019,$283.72
11/13/2019,$283.93
11/14/2019,$284.24
11/15/2019,$286.48
11/18/2019,$286.63
11/19/2019,$286.47
11/20/2019,$285.45
11/21/2019,$285.02
11/22/2019,$285.65
11/25/2019,$287.82
11/26/2019,$288.46
11/27/2019,$289.70
11/29/2019,$288.60
12/02/2019,$286.12
12/03/2019,$284.23
12/04/2019,$286.06
12/05/2019,$286.57
12/06/2019,$289.20
12/09/2019,$288.31
12/10/2019,$288.00
12/11/2019,$288.84
12/12/2019,$291.36
12/13/2019,$291.43
12/16/2019,$293.52
12/17/2019,$293.62
12/18/2019,$293.52
12/19/2019,$294.85
12/20/2019,$296.32
12/23/2019,$295.15
12/24/2019,$295.11
12/26/2019,$296.65
12/27/2019,$296.66
12/30/2019,$294.99
12/31/2019,$295.87
01/02/2020,$298.39
01/03/2020,$296.31
01/06/2020,$297.36
01/07/2020,$296.56
01/08/2020,$298.02
01/09/2020,$300.08
01/10/2020,$299.23
01/13/2020,$301.31
01/14/2020,$300.89
01/15/2020,$301.46
01/16/2020,$303.99
01/17/2020,$305.17
01/21/2020,$304.36
01/22/2020,$304.46
01/23/2020,$304.83
01/24/2020,$302.08
01/27/2020,$297.33
01/28/2020,$300.33
01/29/2020,$300.07
01/30/2020,$301.06
01/31/2020,$295.75
02/03/2020,$297.90
02/04/2020,$302.37
02/05/2020,$305.77
02/06/2020,$306.84
02/07/2020,$305.24
02/10/2020,$307.53
02/11/2020,$308.06
02/12/2020,$310.06
02/13/2020,$309.65
02/14/2020,$310.27
02/18/2020,$309.38
02/19/2020,$310.89
02/20/2020,$309.72
02/21/2020,$306.47
02/24/2020,$296.23
02/25/2020,$287.27
02/26/2020,$286.18
02/27/2020,$273.59
02/28/2020,$271.40
03/02/2020,$283.88
03/03/2020,$275.92
03/04/2020,$287.57
03/05/2020,$277.88
03/06/2020,$273.16
03/09/2020,$252.44
03/10/2020,$263.67
03/11/2020,$250.81
03/12/2020,$227.00
03/13/2020,$248.16
03/16/2020,$218.44
03/17/2020,$231.50
03/18/2020,$219.52
03/19/2020,$220.56
03/20/2020,$211.03
03/23/2020,$204.85
03/24/2020,$224.10
03/25/2020,$226.69
03/26/2020,$240.84
03/27/2020,$232.73
03/30/2020,$240.57
03/31/2020,$236.74
04/01/2020,$226.29
04/02/2020,$231.50
04/03/2020,$228.03
04/06/2020,$244.06
04/07/2020,$243.67
04/08/2020,$252.03
04/09/2020,$255.72
04/13/2020,$253.14
04/14/2020,$260.91
04/15/2020,$255.18
04/16/2020,$256.66
04/17/2020,$263.55
04/20/2020,$258.84
04/21/2020,$250.91
04/22/2020,$256.67
04/23/2020,$256.55
04/24/2020,$260.13
04/27/2020,$263.96
04/28/2020,$262.58
04/29/2020,$269.57
04/30/2020,$267.09
05/01/2020,$259.63
05/04/2020,$260.73
05/05/2020,$263.09
05/06/2020,$261.27
05/07/2020,$264.37
05/08/2020,$268.88
05/11/2020,$268.93
05/12/2020,$263.44
05/13/2020,$258.87
05/14/2020,$261.91
05/15/2020,$262.96
05/18/2020,$271.28
05/19/2020,$268.46
05/20/2020,$272.98
05/21/2020,$270.87
05/22/2020,$271.56
05/26/2020,$274.90
05/27/2020,$278.98
05/28/2020,$278.44
05/29/2020,$279.82
06/01/2020,$280.88
06/02/2020,$283.19
06/03/2020,$287.09
06/04/2020,$286.18
06/05/2020,$293.69
06/08/2020,$297.23
06/09/2020,$294.93
06/10/2020,$293.37
06/11/2020,$276.11
06/12/2020,$279.79
06/15/2020,$282.14
06/16/2020,$287.49
06/17/2020,$286.46
06/18/2020,$286.63
06/19/2020,$285.06
06/22/2020,$286.92
06/23/2020,$288.15
06/24/2020,$280.71
06/25/2020,$283.80
06/26/2020,$276.93
06/29/2020,$279.58
06/30/2020,$283.91
07/01/2020,$285.34
07/02/2020,$286.70
07/06/2020,$291.25
07/07/2020,$288.10
07/08/2020,$290.36
07/09/2020,$288.80
07/10/2020,$291.83
07/13/2020,$289.10
07/14/2020,$293.01
07/15/2020,$295.68
07/16/2020,$294.68
07/17/2020,$295.53
07/20/2020,$298.02
07/21/2020,$298.52
07/22/2020,$300.24
07/23/2020,$296.57
07/24/2020,$294.74
07/27/2020,$296.92
07/28/2020,$295.00
07/29/2020,$298.67
07/30/2020,$297.61
07/31/2020,$299.91
08/03/2020,$302.08
08/04/2020,$303.17
08/05/2020,$305.11
08/06/2020,$307.11
08/07/2020,$307.37
08/10/2020,$308.21
08/11/2020,$305.76
08/12/2020,$310.08
08/13/2020,$309.53
08/14/2020,$309.49
08/17/2020,$310.34
08/18/2020,$311.11
08/19/2020,$309.79
08/20/2020,$310.77
08/21/2020,$311.86
08/24/2020,$315.03
08/25/2020,$316.17
08/26/2020,$319.39
08/27/2020,$319.95
08/28/2020,$322.13
08/31/2020,$321.46
09/01/2020,$323.89
09/02/2020,$328.90
09/03/2020,$317.41
09/04/2020,$314.82
09/08/2020,$306.10
09/09/2020,$312.28
09/10/2020,$306.81
09/11/2020,$306.98
09/14/2020,$310.99
09/15/2020,$312.62
09/16/2020,$311.19
09/17/2020,$308.57
09/18/2020,$305.13
09/21/2020,$301.61
09/22/2020,$304.78
09/23/2020,$297.58
09/24/2020,$298.48
09/25/2020,$303.26
09/28/2020,$308.14
09/29/2020,$305.40
09/30/2020,$307.93
10/01/2020,$309.59
10/02/2020,$306.63
10/05/2020,$312.17
10/06/2020,$307.82
10/07/2020,$313.18
10/08/2020,$315.78
10/09/2020,$318.57
10/12/2020,$323.80
10/13/2020,$321.75
10/14/2020,$319.65
10/15/2020,$319.17
10/16/2020,$319.22
10/19/2020,$314.01
10/20/2020,$315.50
10/21/2020,$314.81
10/22/2020,$316.48
10/23/2020,$317.58
10/26/2020,$311.68
10/27/2020,$310.74
10/28/2020,$299.77
10/29/2020,$303.38
10/30/2020,$299.73
11/02/2020,$303.43
11/03/2020,$308.83
11/04/2020,$315.64
11/05/2020,$321.84
11/06/2020,$321.71
11/09/2020,$325.58
11/10/2020,$325.18
11/11/2020,$327.67
11/12/2020,$324.47
11/13/2020,$328.91
11/16/2020,$332.75
11/17/2020,$331.20
11/18/2020,$327.43
11/19/2020,$328.75
11/20/2020,$326.52
11/23/2020,$328.39
11/24/2020,$333.70
11/25/2020,$333.19
11/27/2020,$334.02
11/30/2020,$332.54
12/01/2020,$336.29
12/02/2020,$336.93
12/03/2020,$336.78
12/04/2020,$339.78
12/07/2020,$339.12
12/08/2020,$340.07
12/09/2020,$337.38
12/10/2020,$336.98
12/11/2020,$336.55
12/14/2020,$335.15
12/15/2020,$339.48
12/16/2020,$340.09
12/17/2020,$342.06
12/18/2020,$340.89
12/21/2020,$339.58
12/22/2020,$337.53
12/23/2020,$337.78
12/24/2020,$339.01
12/28/2020,$341.97
12/29/2020,$341.21
12/30/2020,$341.70
12/31/2020,$343.93
01/04/2021,$338.87
01/05/2021,$341.31
01/06/2021,$343.27
01/07/2021,$348.44
01/08/2021,$350.40
01/11/2021,$348.10
01/12/2021,$348.24
01/13/2021,$349.04
01/14/2021,$347.77
01/15/2021,$345.28
01/19/2021,$348.10
01/20/2021,$352.95
01/21/2021,$353.09
01/22/2021,$352.03
01/25/2021,$353.30
01/26/2021,$352.78
01/27/2021,$343.72
01/28/2021,$347.11
01/29/2021,$340.45
02/01/2021,$346.00
02/02/2021,$350.82
02/03/2021,$351.11
02/04/2021,$354.96
02/05/2021,$356.38
02/08/2021,$359.02
02/09/2021,$358.68
02/10/2021,$358.57
02/11/2021,$359.24
02/12/2021,$360.94
02/16/2021,$360.78
02/17/2021,$360.73
02/18/2021,$359.15
02/19/2021,$358.50
02/22/2021,$355.76
02/23/2021,$356.21
02/24/2021,$360.26
02/25/2021,$351.49
02/26/2021,$349.86
